,0
2145,6382
2146,6383
2147,6384
2148,6385
2149,6387
2150,6388
2151,6389
2152,6390
2153,6391
2154,6392
2155,6394
2156,6395
2157,6396
2158,6397
2159,6398
2160,6399
2161,6402
2162,6403
2163,6405
2164,6406
2165,6407
2166,6411
2167,6412
2168,6415
2169,6416
2170,6417
2171,6423
2172,6424
2173,6426
2174,6428
2175,6429
2176,6436
2177,6437
2178,6439
2179,6450
2180,6451
2181,6452
2182,6454
2183,6455
2184,6466
2185,6467
2186,6468
2187,6472
2188,6483
2189,6484
2190,6485
2191,6489
2192,6500
2193,6501
2194,6502
2195,6504
2196,6515
2197,6516
2198,6518
2199,6520
2200,6521
2201,6526
2202,6527
2203,6528
2204,6530
2205,6531
2206,6532
2207,6534
2208,6536
2209,6537
2210,6538
2211,6540
2212,6542
2213,6543
2214,6545
2215,6546
2216,6547
2217,6548
2218,6549
2219,6550
2220,6551
2221,6552
2222,6553
2223,6555
2224,6556
2225,6557
2226,6560
2227,6564
2228,6565
2229,6568
2230,6569
2231,6570
2232,6573
2233,6574
2234,6575
2235,6576
2236,6580
2237,6581
2238,6582
2239,6584
2240,6586
2241,6587
2242,6588
2243,6594
2244,6597
2245,6600
2246,6607
2247,6608
2248,6609
2249,6612
2250,6613
2251,6624
2252,6625
2253,6626
2254,6630
2255,6644
2256,6645
2257,6660
2258,6661
2259,6697
2260,6705
2261,6712
2262,6719
2263,6720
2264,6729
2265,6730
2266,6768
2267,6769
2268,6785
2269,6786
2270,6801
2271,6802
2272,6803
2273,6818
2274,6819
2275,6832
2276,6833
2277,6844
2278,6845
2279,6846
2280,6854
2281,6855
2282,6856
2283,6862
2284,6863
2285,6869
2286,6870
2287,6877
2288,6878
2289,6879
2290,6887
2291,6888
2292,6889
2293,6899
2294,6911
2295,6912
2296,6925
2297,6926
2298,6927
2299,6942
2300,6943
2301,6944
2302,6958
2303,6959
2304,6960
2305,6961
2306,6962
2307,6975
2308,6976
2309,6977
2310,6990
2311,6991
2312,7002
2313,7003
2314,7004
2315,7005
2316,7011
2317,7012
2318,7013
2319,7014
2320,7020
2321,7021
2322,7023
2323,7027
2324,7028
2325,7030
2326,7034
2327,7035
2328,7036
2329,7037
2330,7039
2331,7044
2332,7045
2333,7046
2334,7047
2335,7048
2336,7056
2337,7057
2338,7059
2339,7068
2340,7069
2341,7070
2342,7083
2343,7084
2344,7085
2345,7086
2346,7099
2347,7100
2348,7101
2349,7102
2350,7103
2351,7116
2352,7117
2353,7118
2354,7120
2355,7133
2356,7134
2357,7135
2358,7136
2359,7148
2360,7149
2361,7152
2362,7159
2363,7160
2364,7161
2365,7162
2366,7163
2367,7169
2368,7170
2369,7171
2370,7172
2371,7173
2372,7175
2373,7178
2374,7179
2375,7181
2376,7182
2377,7185
2378,7186
2379,7188
2380,7192
2381,7193
2382,7194
2383,7195
2384,7196
2385,7197
2386,7202
2387,7203
2388,7205
2389,7206
2390,7208
2391,7214
2392,7215
2393,7217
2394,7218
2395,7226
2396,7227
2397,7228
2398,7240
2399,7241
2400,7242
2401,7243
2402,7244
2403,7257
2404,7258
2405,7259
2406,7261
2407,7273
2408,7274
2409,7275
2410,7278
2411,7279
2412,7290
2413,7291
2414,7292
2415,7294
2416,7305
2417,7306
2418,7308
2419,7310
2420,7311
2421,7317
2422,7318
2423,7319
2424,7320
2425,7321
2426,7323
2427,7326
2428,7327
2429,7328
2430,7330
2431,7332
2432,7333
2433,7336
2434,7337
2435,7339
2436,7340
2437,7343
2438,7344
2439,7346
2440,7347
2441,7350
2442,7351
2443,7353
2444,7355
2445,7359
2446,7360
2447,7361
2448,7363
2449,7364
2450,7372
2451,7374
2452,7375
2453,7376
2454,7384
2455,7385
2456,7386
2457,7387
2458,7398
2459,7399
2460,7400
2461,7402
2462,7414
2463,7415
2464,7416
2465,7419
2466,7420
2467,7431
2468,7432
2469,7433
2470,7436
2471,7437
2472,7448
2473,7449
2474,7450
2475,7452
2476,7455
2477,7463
2478,7464
2479,7466
2480,7468
2481,7469
2482,7474
2483,7475
2484,7476
2485,7479
2486,7482
2487,7484
2488,7485
2489,7486
2490,7488
2491,7490
2492,7491
2493,7493
2494,7494
2495,7495
2496,7496
2497,7497
2498,7498
2499,7500
2500,7501
2501,7502
2502,7503
2503,7504
2504,7505
2505,7508
2506,7509
2507,7511
2508,7512
2509,7513
2510,7516
2511,7517
2512,7518
2513,7521
2514,7522
2515,7523
2516,7524
2517,7529
2518,7530
2519,7532
2520,7533
2521,7534
2522,7536
2523,7542
2524,7543
2525,7545
2526,7548
2527,7556
2528,7557
2529,7558
2530,7560
2531,7572
2532,7573
2533,7574
2534,7577
2535,7578
2536,7589
2537,7590
2538,7591
2539,7595
2540,7606
2541,7607
2542,7610
2543,7613
2544,7614
2545,7621
2546,7622
2547,7624
2548,7626
2549,7627
2550,7632
2551,7633
2552,7634
2553,7637
2554,7639
2555,7640
